machine_id,time_stamp,failure_domain_1,failure_domain_2,cpu_num,mem_size,status
m_1,148984,219,17.0,96,100,USING
m_1,535156,219,17.0,96,100,USING
m_1,552384,219,17.0,96,100,USING
m_10,570024,128,17.0,96,100,USING
m_10,573570,128,17.0,96,100,USING
m_1000,599230,89,16.0,96,100,USING
m_1001,571333,92,19.0,96,100,USING
m_1001,580170,92,19.0,96,100,USING
m_1002,539049,37,7.0,96,100,USING
m_1002,546737,37,7.0,96,100,USING
m_1002,555178,37,7.0,96,100,USING
m_1002,556959,37,7.0,96,100,USING
m_1002,564233,37,7.0,96,100,USING
m_1004,342891,21,1.0,96,100,USING
m_1005,348611,20,1.0,96,100,USING
m_1005,384130,20,1.0,96,100,USING
m_1005,555833,20,1.0,96,100,USING
m_1005,558497,20,1.0,96,100,USING
m_1006,538340,62,4.0,96,100,USING
m_1006,550745,62,4.0,96,100,USING
m_1006,571463,62,4.0,96,100,USING
m_1006,575526,62,4.0,96,100,USING
m_1007,342406,108,10.0,96,100,USING
m_1007,346351,108,10.0,96,100,USING
m_1008,554225,181,15.0,96,100,USING
m_1008,557872,181,15.0,96,100,USING
m_1008,566230,181,15.0,96,100,USING
m_1009,130314,29,4.0,96,100,USING
m_1009,134501,29,4.0,96,100,USING
m_1010,538340,90,17.0,96,100,USING
m_1010,554345,90,17.0,96,100,USING
m_1010,599297,90,17.0,96,100,USING
m_1012,257151,191,8.0,96,100,USING
m_1012,261013,191,8.0,96,100,USING
m_1013,598329,84,11.0,96,100,USING
m_1014,162955,52,14.0,96,100,USING
m_1014,166450,52,14.0,96,100,USING
m_1014,173033,52,14.0,96,100,USING
m_1014,229929,52,14.0,96,100,USING
m_1014,235316,52,14.0,96,100,USING
m_1014,236301,52,14.0,96,100,USING
m_1014,239852,52,14.0,96,100,USING
m_1014,249614,52,14.0,96,100,USING
m_1015,584103,63,5.0,96,100,USING
m_1017,573438,184,6.0,96,100,USING
m_1018,563345,184,6.0,96,100,USING
m_1018,573311,184,6.0,96,100,USING
m_1019,303883,118,14.0,96,100,USING
m_102,203011,13,13.0,96,100,USING
m_102,204640,13,13.0,96,100,USING
m_102,310256,13,13.0,96,100,USING
m_102,323484,13,13.0,96,100,USING
m_102,326653,13,13.0,96,100,USING
m_1020,203004,54,16.0,96,100,USING
m_1020,204110,54,16.0,96,100,USING
m_1022,157847,20,20.0,96,100,USING
m_1022,162244,20,20.0,96,100,USING
m_1022,163901,20,20.0,96,100,USING
m_1022,170207,20,20.0,96,100,USING
m_1022,310178,20,20.0,96,100,USING
m_1022,312428,20,20.0,96,100,USING
m_1023,129867,92,19.0,96,100,USING
m_1023,138279,92,19.0,96,100,USING
m_1023,324427,92,19.0,96,100,USING
m_1023,330307,92,19.0,96,100,USING
m_1023,336540,92,19.0,96,100,USING
m_1023,338471,92,19.0,96,100,USING
m_1023,340494,92,19.0,96,100,USING
m_1024,578913,80,7.0,96,100,USING
m_1024,582766,80,7.0,96,100,USING
m_1026,554343,88,15.0,96,100,USING
m_1026,566517,88,15.0,96,100,USING
m_1029,197330,51,13.0,96,100,USING
m_1029,568487,51,13.0,96,100,USING
m_1029,576463,51,13.0,96,100,USING
m_103,231680,4,4.0,96,100,USING
m_1030,224511,51,11.0,96,100,USING
m_1030,323493,51,11.0,96,100,USING
m_1032,216146,177,3.0,96,100,USING
m_1032,220884,177,3.0,96,100,USING
m_1032,534383,177,3.0,96,100,USING
m_1032,547179,177,3.0,96,100,USING
m_1033,321109,144,12.0,96,100,USING
m_1033,322622,144,12.0,96,100,USING
m_1033,336551,144,12.0,96,100,USING
m_1035,213741,194,9.0,96,100,USING
m_1035,216267,194,9.0,96,100,USING
m_1035,259961,194,9.0,96,100,USING
m_1035,266342,194,9.0,96,100,USING
m_1036,378302,49,11.0,96,100,USING
m_1036,380726,49,11.0,96,100,USING
m_1039,116248,227,10.0,96,100,USING
m_104,221020,4,4.0,96,100,USING
